"Section","Sub Section","Report Title","URL","Display Order"
"Contract Reviews","2015 Contract Reviews","2015-06-02:  June 2, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015June02.pdf","329"
"Contract Reviews","2015 Contract Reviews","2015-05-26:  May 26, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015May26.pdf","330"
"Contract Reviews","2015 Contract Reviews","2015-05-19:  May 19, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015May19.pdf","331"
"Contract Reviews","2015 Contract Reviews","2015-05-12:  May 12, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015May12.pdf","332"
"Contract Reviews","2015 Contract Reviews","2015-05-05:  May 5, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015May05.pdf","333"
"Contract Reviews","2015 Contract Reviews","2015-04-28:  April 28, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015April28.pdf","334"
"Contract Reviews","2015 Contract Reviews","2015-04-21:  April 21, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015April21.pdf","335"
"Contract Reviews","2015 Contract Reviews","2015-04-13:  April 13, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015April13.pdf","336"
"Contract Reviews","2015 Contract Reviews","2015-04-07:  April 7, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015April07.pdf","337"
"Contract Reviews","2015 Contract Reviews","2015-03-31:  March 31, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015March31.pdf","338"
"Contract Reviews","2015 Contract Reviews","2015-03-24:  March 24, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015March24.pdf","339"
"Contract Reviews","2015 Contract Reviews","2015-03-17:  March 17, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015March17.pdf","340"
"Contract Reviews","2015 Contract Reviews","2015-03-10:  March 10, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015March10.pdf","341"
"Contract Reviews","2015 Contract Reviews","2015-03-02:  March 3, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015March03.pdf","342"
"Contract Reviews","2015 Contract Reviews","2015-02-24:  February 24, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015February24.pdf","343"
"Contract Reviews","2015 Contract Reviews","2015-02-17:  February 17, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015February17.pdf","344"
"Contract Reviews","2015 Contract Reviews","2015-02-10:  February 10, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015February10.pdf","345"
"Contract Reviews","2015 Contract Reviews","2015-02-03:  February 3, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015February10.pdf","346"
"Contract Reviews","2015 Contract Reviews","2015-01-27:  January 27, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015January 27.pdf","347"
"Contract Reviews","2015 Contract Reviews","2015-01-20:  January 20, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015January20.pdf","348"
"Contract Reviews","2015 Contract Reviews","2015-01-13:  January 13, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015January13.pdf","349"
"Contract Reviews","2015 Contract Reviews","2015-01-06:  January 6, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015January06.pdf","350"
"Contract Reviews","2015 Contract Reviews","2015-01-05 Week of January 5, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015January06.pdf","351"
"Contract Reviews","2015 Contract Reviews","2015-01-13 Week of January 13, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015%20Contract%20Reviews/2015January13.pdf","352"
"Contract Reviews","2015 Contract Reviews","2015-01-20 Week of January 20, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015January20.pdf","353"
"Contract Reviews","2015 Contract Reviews","2015-01-27 Week of January 27, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015January 27.pdf","354"
"Contract Reviews","2015 Contract Reviews","2015-02-03 Week of February 3, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015February3.pdf","355"
"Contract Reviews","2015 Contract Reviews","2015-02-10 Week of February 10, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015February10.pdf","356"
"Contract Reviews","2015 Contract Reviews","2015-02-17 Wee of February 17, 2015","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2015 Contract Reviews/2015February17.pdf","357"
"Division Reports","2018 Reports to Council","2018-10-17: Budget Hearings and Deliberations","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Budget Hearings and Deliberations.pdf","358"
"Division Reports","2018 Reports to Council","2018-10-15: Motorized Scooters","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Motorized Scooters.pdf","359"
"Division Reports","2018 Reports to Council","2018-10-11: Eastern Market Gateway Brownsfield","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Eastern Market Gateway Brownfield.pdf","360"
"Division Reports","2018 Reports to Council","2018-10-09: General Fund Appropriation Status Report as of September, 2018","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/2017-2018 General Fund Appropriation Status Report_ as of Sept. 2018.pdf","361"
"Division Reports","2018 Reports to Council","2018-10-09: Ford Renaissance Zone","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Ford OPRA and NEZ.pdf","362"
"Division Reports","2018 Reports to Council","2018-10-08: Publicly Funded Construction Project Ordinance","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Publically Funded Construction.pdf","363"
"Division Reports","2018 Reports to Council","2018-10-05: Proposed Chapter 11-30 of Recodified Detroit City Code","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Chapter 11-30 Recodified City Code.pdf","364"
"Division Reports","2018 Reports to Council","2018-10-04: Real Property at 12412, 12418, 21420, 21430 and 12436 Van Dyke","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/MM 12412 Van Dyke.pdf","365"
"Division Reports","2018 Reports to Council","2018-10-04: Aretha Franklin - Chene Park","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Aretha Franklin -- Chene Park.pdf","366"
"Division Reports","2018 Reports to Council","2018-10-04: Shalom Fellowship","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Shalom Fellowship.pdf","367"
"Division Reports","2018 Reports to Council","2018-10-04: Community Benefits Ordinance - Ford Motor Company MI Central Station","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/CBO - Ford MI Central Station.pdf","368"
"Division Reports","2018 Reports to Council","2018-10-02: Supplemental Report on MSHDA & DBA req. for Demolition Contracts","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/MSHDA and DBA req for Demo Contracts.pdf","369"
"Division Reports","2018 Reports to Council","2018-10-02: Lafayette 1626 LLC OPRCP","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Lafayette 1626 LLC OPRCP.pdf","370"
"Division Reports","2018 Reports to Council","2018-10-01: Report on Gaming Tax Revenue through August 2018","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Gaming Tax Revenue thru August 2018.pdf","371"
"Division Reports","2018 Reports to Council","2018-10-01: Homeless Bill of Rights Resolution","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Homeless Bill of Rights Reso.pdf","372"
"Division Reports","2018 Reports to Council","2018-10-01: Proposed 50% Discount on Parking Fines Paid Within 10 Days","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Parking Fines Proposed Discount.pdf","373"
"Division Reports","2018 Reports to Council","2018-10-01: Council Approval of DWSD Budget and Rental Rates","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/DWSD Budget and Retail Rates1.pdf","374"
"Division Reports","2018 Reports to Council","2018-10-01: Recommended Revisions to the Community Benefits Ordinance","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/CBO Revisions.pdf","375"
"Division Reports","2018 Reports to Council","2018-09-27: Secondary Street Name request in honor of Rev. Dr. William R. Haney","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/HDAB/SSN Rev Dr William Haney.pdf","376"
"Division Reports","2018 Reports to Council","2018-09-27: Secondary Street Name request in honor of Rosa L. Gragg","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/HDAB/SSN - Rosa L Gragg.pdf","377"
"Division Reports","2018 Reports to Council","2018-09-26: Responsibility for alleys","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Alleys.pdf","378"
"Division Reports","2018 Reports to Council","2018-09-26: City Council Districts and Neighborhood Enterprise Zones (NEZ)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Council Districts and NEZs.pdf","379"
"Division Reports","2018 Reports to Council","2018-09-25: Equalization Credit for Detroit-Based & Detroit Headquartered Businesses","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Equalization Credit.pdf","380"
"Division Reports","2018 Reports to Council","2018-09-25: Revised Industrial Facilities Exemption Certificate for Troxell Axle, LLC","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/IFEC Troxell Axle LLC.pdf","381"
"Division Reports","2018 Reports to Council","2018-09-25: Neighborhood Enterprise Zone request by ASTI Environmental","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/NEZ ASTI Environmental.pdf","382"
"Division Reports","2018 Reports to Council","2018-09-25: Corrected Reso. Aretha Louise Franklin Amphitheater","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/corrected Aretha L. Franklin Amphitheater Reso.pdf","383"
"Division Reports","2018 Reports to Council","2018-09-25: Industrial Facilities Exemption Certificate for Troxell Axle, LLC","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Troxell Axle LLC.pdf","384"
"Division Reports","2018 Reports to Council","2018-09-24: Special District Review request for the Church of Scientology","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Church of Scientology PCA 9-24-2018.pdf","385"
"Division Reports","2018 Reports to Council","2018-09-24: Supplemental Report to Dissolution of Quasi-Governmental Authorities","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Quasi Governmental Supplemental.pdf","386"
"Division Reports","2018 Reports to Council","2018-09-24: Reso in support of a $15/hr. Minimun Wage for City Employees","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/15 Minimum Wage Reso.pdf","387"
"Division Reports","2018 Reports to Council","2018-09-20: Resolution on Aretha Louise Frankly Amphitheater - Amended","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Reso_endorsing the Aretha Louise Franklin Amphitheater_AMENDED.pdf","388"
"Division Reports","2018 Reports to Council","2018-09-20: Dissolution of Quasi-Governmental Authorities by State Enabling Acts","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Quasi Government Authorities.pdf","389"
"Division Reports","2018 Reports to Council","2018-09-19: Request to correct errors on Zoning Map nos. 71 and 74","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Correct Errors on Zoning Map Nos 71 and 74.pdf","390"
"Division Reports","2018 Reports to Council","2018-09-18: A Host Community Agreement with Detroit Renewable Power","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Detroit Renewable Power.pdf","391"
"Division Reports","2018 Reports to Council","2018-09-14: PD-H (Planned Development-Historic) modification Brush and Watson","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Brush and Watson CC Report1.0.pdf","392"
"Division Reports","2018 Reports to Council","2018-09-14: Rezoning request for 444, 4500 and 4520 Trumbull, 1303 W. Forrest","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/University Meadows CC Report 2018 1.pdf","393"
"Division Reports","2018 Reports to Council","2018-09-14: Rezoning Request for Covenant Community Care, Inc. - 17625 Joy Rd.","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Covenant Community Care.pdf","394"
"Division Reports","2018 Reports to Council","2018-09-14: Rezoning Request for Mohamed Elhady","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Rezoning Mohamed Elhady for Armada-Conant-Gaylord.pdf","395"
"Division Reports","2018 Reports to Council","2018-09-13: Secondary Street Name - Petition #317 for Tapan Datta Boulevard","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/HDAB/SSN Tapan Datta Blvd.pdf","396"
"Division Reports","2018 Reports to Council","2018-09-13: Secondary Street Name - Petition #342 for Dr. E. N. Jennings, Sr.","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/HDAB/SSN2 - Dr E N Jennings.pdf","397"
"Division Reports","2018 Reports to Council","2018-09-12: Rezoning request of Talal Dickow for 2205, 2211 and 2215 Green Avenue","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/2055 2211 2215 Green.pdf","398"
"Division Reports","2018 Reports to Council","2018-09-07: Charter Commission Election Proposal Recount","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/WC Board of Canvassers.pdf","399"
"Division Reports","2018 Reports to Council","2018-09-07: Zoning Ordinance Text Amendment Business Colleges/Trade Schools","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Text Amendment - Business Collegea and Trade Schools.pdf","400"
"Division Reports","2018 Reports to Council","2018-09-07: Rezoning request 7501 Webb, 7600 Burlingame, 10530 Bryden...","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/7501 Webb 10530 Byron Rezoning from R3 to R5.pdf","401"
"Division Reports","2018 Reports to Council","2018-09-07: Reso to improve the operation of the Aretha Louise Franklin Amphitheater","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Reso to support the efforts to improve operation of the chene park amphitheater.pdf","402"
"Division Reports","2018 Reports to Council","2018-09-05: Garfield Area Redevelopment Brownfield Redevelopment Act","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/2nd Amended and Restated Garfield Area Brownfield.pdf","403"
"Division Reports","2018 Reports to Council","2018-09-05: Supplemental Report on Northwest Transportation Pilot","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Northwest Transportation Pilot Supplemental Report.pdf","404"
"Division Reports","2018 Reports to Council","2018-08-27: Potential Revenue Sources to Increase Salaries of Detroit Police Officers","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Salaries of Rank and File Police Officers.pdf","405"
"Division Reports","2018 Reports to Council","2018-08-24: Summary of Detroit Land Bank Authority Quarterly Report July 2018","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Summary of DLBA QR 7-2018.pdf","406"
"Division Reports","2018 Reports to Council","2018-08-24: Regulating Formula Businesses","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Formulating Businesses.pdf","407"
"Division Reports","2018 Reports to Council","2018-08-23: Budgetary Impact of a City Employee $15/hr Minimum Wage","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/15 Minimum Wage Memo.pdf","408"
"Division Reports","2018 Reports to Council","2018-08-23: Reso in Support of $15/hr Minimum Wage for City Employees","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/15 Minimum Wage Reso.pdf","409"
"Division Reports","2018 Reports to Council","2018-08-20: Gaming Tax Revenue through July 2018","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Gaming Tax Revenue - July 2018.pdf","410"
"Division Reports","2018 Reports to Council","2018-08-20: Gaming Tax Revenue through June 2018","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Gaming Tax Revenue - June 2018.pdf","411"
"Division Reports","2018 Reports to Council","2018-08-20: Review of Wrecking Board Issues","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/rpt review of wrecking board issues.pdf","412"
"Division Reports","2018 Reports to Council","2018-08-20: Riverside Park Improvements Report","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Riverside Parks Improvements.pdf","413"
"Division Reports","2018 Reports to Council","2018-08-20: Report on the proposal to Repeal Article V (Slavery Ordinance)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Slavery Ordinance.pdf","414"
"Division Reports","2018 Reports to Council","2018-07-30: Proposed Diversified Data Processing & Consulting, inc. Contract# 6001575","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Diversified Data 6001575.pdf","415"
"Division Reports","2018 Reports to Council","2018-07-27: Report on Truck Route Language","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Truck Route Language.pdf","416"
"Division Reports","2018 Reports to Council","2018-07-27: MSHDA and DBA Requirements for Demolition Contracts","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/MSHDA and DBA Requirements for Demo Contracts.pdf","417"
"Division Reports","2018 Reports to Council","2018-07-25: DDA and Olympia Development of MI rezoning extension","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Report and Reso 4th extension LCA PD ModRezoning.pdf","418"
"Division Reports","2018 Reports to Council","2018-07-25: Extension of Deadline to Exercise the Right of First Refusal","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Extension Right of First Refusal.pdf","419"
"Division Reports","2018 Reports to Council","2018-07-23: Community Benefits Ordinance Amendments","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/CBO Amendments.pdf","420"
"Division Reports","2018 Reports to Council","2018-07-23: Inspector General Interviews","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Inspector General Interview List.pdf","421"
"Division Reports","2018 Reports to Council","2018-07-23: Racial Preferences in Public Contracts","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Racial Preference in Public Contracrs.pdf","422"
"Division Reports","2018 Reports to Council","2018-07-23: Vacancy on City Planning Commission","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/CPC Vacancy Fairrow Resignation.pdf","423"
"Division Reports","2018 Reports to Council","2018-07-23: City Planning Commission election of officer","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/CPC Election of Vice Chair Secretary 2018.pdf","424"
"Division Reports","2018 Reports to Council","2018-07-23: Support for Boy Scouts of America events at Rouge Park in 2019","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/CPC Letter of Support for the Boyscouts.pdf","425"
"Division Reports","2018 Reports to Council","2018-07-23: Effects of Sports Betting on Casino Development Agreements","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Effects of Sports Betting on Casino Dev Agmts.pdf","426"
"Division Reports","2018 Reports to Council","2018-07-20: Commercial Rehab Exemption Certificate Paperclip Properties, LLC revised","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Paperclip Properties CREC - revised.pdf","427"
"Division Reports","2018 Reports to Council","2018-07-21: Residential Parking Permits - Overview","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Residential Parking Permits Overview.pdf","428"
"Division Reports","2018 Reports to Council","2018-07-19: Task Force for pending ballot proposal on recreational marihunana","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Task Force Recreational Marihuana.pdf","429"
"Division Reports","2018 Reports to Council","2018-07-19: Reso in support of Bus & Bus Facilities Grant Program","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Support DDOT application for Federal Transit Grant Progam.pdf","430"
"Division Reports","2018 Reports to Council","2018-07-18: DWSD/GLWA 2018 Memorandum of Understanding","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/DWSD-GLWA 2018 MOU.pdf","431"
"Division Reports","2018 Reports to Council","2018-07-18: Commercial Rehab Exemption Certificate Paperclip Properties, LLC","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Paperclip Properties CREC.pdf","432"
"Division Reports","2018 Reports to Council","2018-07-17: Joe Louis Arena Brownfield Redevelopment Plan","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Joe Louis Arena Brownfield.pdf","433"
"Division Reports","2018 Reports to Council","2018-07-16: Special District Review and approval of building permit applications","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Summer Recess.pdf","434"
"Division Reports","2018 Reports to Council","2018-07-16: Inspector General Interview List","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Inspector General Interview List.pdf","435"
"Division Reports","2018 Reports to Council","2018-07-16: Reso in Support of 2018 MI House Bills 5861-5865","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Resolution for HB 5861-5865 of 2018.pdf","436"
"Division Reports","2018 Reports to Council","2018-07-13: Special District Review 546 E. Larned St.","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Special District Review for wall signs at 546 E. Larned.pdf","437"
"Division Reports","2018 Reports to Council","2018-07-11: CFEC for Detroit CBD Hotel, LLC - Corrected Copy","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/CBD Hotel PA 255 - Corrected Copy.pdf","438"
"Division Reports","2018 Reports to Council","2018-07-06: Industrial Facilities Exemption Certificate for Detroit CBD Hotel, LLC","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/IFEC Detroit CBD Hotel LLC.pdf","439"
"Division Reports","2018 Reports to Council","2018-07-02: NEZ Certificate Application for Pyramid Development Co., LLC","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Pyramid Development Co. LLC.pdf","440"
"Division Reports","2018 Reports to Council","2018-07-02: Special District Review - Church of Scientology - 1 Griswold Street","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Church of Scientology - 1 Griswold.pdf","441"
"Division Reports","2018 Reports to Council","2018-06-29: Contract 6001431 Michigan Recreational Construction, Inc.","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Contract 6001431 - MI Recreational.pdf","442"
"Division Reports","2018 Reports to Council","2018-06-28: Demolition Program Contracting Procedures and Policies","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Demolition Prog Contracting Procedures.pdf","443"
"Division Reports","2018 Reports to Council","2018-06-25: Medical Marihuana Facilities Text Amendment","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Medical Marihuana Text Amendment.pdf","444"
"Division Reports","2018 Reports to Council","2018-06-25: Reso designating July 1st Youth Voter Engagement Day","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Youth Voter Engagement Day.pdf","445"
"Division Reports","2018 Reports to Council","2018-06-25: Reso Opposing President Trump's Zero-Tolerance Immigration Policies","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Zero Tolerance Reso2.pdf","446"
"Division Reports","2018 Reports to Council","2018-06-22: Gaming Tax Revenue through May 2018","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Gaming Tax Revenue thru May 2018.pdf","447"
"Division Reports","2018 Reports to Council","2018-06-20: LPD Analysis of DWSD Workshop","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/LPD Analysis of DWSD Workshop.pdf","448"
"Division Reports","2018 Reports to Council","2018-06-20: DWSD FY 2018-19 Amended Budget Analysis","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/DWSD Amended Budget Analysis.pdf","449"
"Division Reports","2018 Reports to Council","2018-06-20: Petition No. 1848 of Brenda White and Ozelle Henley 2940 - E. 8 Mile Rd.","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Petition 1848 - Brenda White and Ozelle Henley.pdf","450"
"Division Reports","2018 Reports to Council","2018-06-18: Reorganization of Mayoral Department Leadership","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2018/Reorganization of Mayoral Dept.pdf","451"
